question,answer
What is your name?,My name is Bubble.
How old are you?,"I am an AI, so I don't have an age."
What is the capital of France?,The capital of France is Paris.
aims and objectives of Cerner Inpatient HCA Lesson Plan Adult/Paediatrics,"By the end of this training, delegates will be able to:
            >   Login to Powerchart 
            >   Home screen – Care Compass list
            >   Set up list maintenance and overview
            >   Complete intentional rounding’s. NB – obs. will continue to be recorded on Patientrack within inpatient settings
            >   Record height and weight (iView) and other assessments
            >   Record Covid swab
            >   New Order entry
            >   Print labels and Wristbands.
            >   Ward clerk duties.
            >   Casenote Management
            >   Log out"
course timings for Inpatient HCA Lesson Plan Adult/Paediatrics,The course timing duration for Inpatient HCA Lesson Plan Adult/Paediatrics is 2 hours.
Cerner Millennium Outpatient HCA Lesson Plan (non-labs),"By the end of this training, delegates will be able to:
            >   Login to PowerChart
	        >    Record urinalysis results
            >    Configure the homepage to Ambulatory Organiser and navigate around this screen
	        >    View outpatient appointments
            >    Change patient status to With Nurse
	        >    Viewing documents and images
            >     Record a patient’s accessibility information
	        >     View outpatient referrals and clinical info. recorded by the clinicians (e.g., presenting complaints)
            >     Navigate around Nurse View
	        >      Records a set of obs. inc. height & weight
        "
course timings for Outpatient HCA Lesson Plan (non-labs),The course timing duration for Outpatient HCA Lesson Plan (non-labs) is 3 hours.
Logging On for Inpatient Health Care Assistant," >   Launch Powerchart and login
            >   Delegates to login to the TRAIN domain using details from the ‘delegate sheets’"
Powerchart overview,"
            >   Give an overview of the orientation of Powerchart
            >   Explain the session will cover some elements of configuring their account but there will also be an opportunity for all users to set up Cerner accounts prior to go live
            >   Configure Powerchart homepage: from the toolbar click View, then select My Experience.
            >   Click CareCompass as the default view 
            >    Click Save, exit the application and log back in
            >    Explain the toolbar display along the top; touch on the features that they would mainly use 
        "
CareCompass overview for Inpatient Health Care Assistant,"Overview of CareCompass and explain how to use some of its key components:

        CareCompass is an interdisciplinary summary workflow solution that guides you, as a clinician, in planning and prioritising the care of your patients and provides you with the correct information at the right time. CareCompass displays 90% of all the information you need about your patients directly, including important details such as allergies, resuscitation status, reason for visit, and care plans. CareCompass empowers you to make informed decisions faster because you will receive nearly real-time data about each of your assigned patients in a comprehensive view in the context of their plans of care. In addition, you can also directly document patient activities and click links to access other important parts of your patients’ charts (electronic care records).

        >   New accounts will not have any lists. On first login, new users will need to click List Maintenance / New / Location and create their ward list
        >   To manage your list(s) click List Maintenance (located to the right of the Patient List drop-down), then set by location. Choose Royal Blackburn Hospital / Level 3 / ward C18A – Users can also narrow location down to Bay and Beds to create a list of only their patients - Note: Discharge criteria must also be set to “Only Display patients that have not been discharged” this avoids recently discharged patients also displaying on the list.
        >   Establishing patient relationships: explain this is to activate clinical data for the patients you are caring for. Stress the importance of only viewing information for the patients under your care
        >   Click the Establish relationship button, Tick the box next to the relevant patient and select the HCA access role from the drop down. Click establish. This is to ensure the correct users are accessing the correct patients on the ward.
        Practical session for users

            Explain the columns:
        o   Location (ward and bed details)
        o   Patient demographics / view any allergies. NB – the following icons will appear against patients here but only once you have established a relationship
        o   Hover over patient to see their illness severity, which can be updated by clicking into column and updated
        o   Visit columns – LOS = length of stay
        o   EWS total and risk level columns – patient’s latest early warning score and risk level (low/med/high). This will only appear after a set of obs have been recorded. Observations are to continue being recorded in Patientrack system
        o   Activities column shows number of tasks still requiring completion. This number will reduce as they are done. Hover over the red or grey bar to see activities’ categories. Red bar = overdue tasks. Trainers Note: do NOT record the Adult Basic Admission Assessment, direct the delegates to the Safety Assessment and explain you will go into it in more detail shortly
        o   Plan of Care shows patient care plans in place. This will auto. display ‘1 suggested care plan’ for every new admission – this is the Discharge Care Plan. Trainers’ note: VTE to be completed by Nurses
            Note – if there are more than 10 patients on the configured list the plans of care column will not show
            "
